Timestamp,AQI,Temp,Hum,Pres
2025-12-07T23:51:11,65.32,21.4,73,0
2025-12-07T23:51:16,60.56,21.4,71,0
2025-12-07T23:51:21,57.26,21.4,71,0
2025-12-07T23:51:26,52.87,21.4,70,0
2025-12-07T23:51:31,50.79,21.4,69,0
2025-12-07T23:51:36,48.84,21.4,69,0
2025-12-07T23:51:41,46.64,21.4,69,0
2025-12-07T23:51:46,45.79,21.4,68,1
2025-12-07T23:51:51,44.93,21.4,68,1
2025-12-07T23:51:56,44.08,21.4,69,0
2025-12-07T23:52:01,43.47,21.4,69,0
2025-12-07T23:52:06,42,21.4,68,0
2025-12-07T23:52:11,41.03,21.4,68,0
2025-12-07T23:52:16,41.03,21.4,68,0
2025-12-07T23:52:21,41.03,21.4,68,0
2025-12-07T23:52:27,39.19,21.4,68,0
2025-12-07T23:52:32,38.46,21.4,68,0
2025-12-07T23:52:37,38.22,21.4,68,0
2025-12-07T23:52:42,37.97,21.4,68,0
2025-12-07T23:52:47,37.36,21.4,67,0
2025-12-07T23:52:52,37.24,21.4,67,0
2025-12-07T23:52:57,37.24,21.4,68,0
2025-12-07T23:53:02,37.85,21.4,67,0
2025-12-07T23:53:07,38.71,21.4,68,1
2025-12-07T23:53:12,38.83,21.4,68,1
2025-12-07T23:53:17,38.46,21.4,69,0
2025-12-07T23:53:22,37.97,21.4,69,0
2025-12-07T23:53:27,37.73,21.4,69,0
2025-12-07T23:53:32,37.73,21.4,69,0
2025-12-07T23:53:37,38.22,21.4,69,0
2025-12-07T23:53:42,37.61,21.4,69,0
2025-12-07T23:53:47,37.48,21.4,69,0
2025-12-07T23:53:52,37.24,21.4,69,0
2025-12-07T23:53:57,37.24,21.4,69,0
2025-12-07T23:54:02,37.73,21.3,69,0
2025-12-07T23:54:07,38.46,21.1,69,0
2025-12-07T23:54:12,38.34,21.1,69,0
2025-12-07T23:54:17,37.97,21.1,69,0
2025-12-07T23:54:22,37.97,21.1,69,0
2025-12-07T23:54:27,37.85,21.1,69,0
2025-12-07T23:54:32,37.48,21.1,69,0
2025-12-07T23:54:37,37.85,21,69,0
2025-12-07T23:54:42,37.73,21,69,0
2025-12-07T23:54:47,37.97,21,69,0
2025-12-07T23:54:52,37.48,21,70,0
2025-12-07T23:54:57,37.48,21,69,0
2025-12-07T23:55:02,37.48,21,69,0
2025-12-07T23:55:07,37.24,21,69,0
2025-12-07T23:55:12,37.12,21,69,0
2025-12-07T23:55:17,37.24,21,69,0
2025-12-07T23:55:22,37.24,21,69,0
2025-12-07T23:55:27,37.24,21,69,0
2025-12-07T23:55:32,37.36,21,69,0
2025-12-07T23:55:37,37.48,21,69,0
2025-12-07T23:55:43,37.36,21,69,0
2025-12-07T23:55:48,37.61,21,69,0
2025-12-07T23:55:53,37.85,21,69,0
2025-12-07T23:55:58,37,21,69,0
2025-12-07T23:56:03,37.73,21,70,0
2025-12-07T23:56:08,37.48,21,70,0
2025-12-07T23:56:13,37.85,21,70,0
2025-12-07T23:56:18,37.73,21,70,0
2025-12-07T23:56:23,39.44,21,70,0
2025-12-07T23:56:28,37.73,21,70,0
2025-12-07T23:56:33,37.73,21,70,0
2025-12-07T23:56:38,37.73,21,70,0
2025-12-07T23:56:43,37.12,21,70,0
2025-12-07T23:56:48,37.48,21,70,0
2025-12-07T23:56:53,37.97,21,70,0
2025-12-07T23:56:58,38.22,21,70,0
2025-12-07T23:57:03,38.46,21,70,0
2025-12-07T23:57:08,38.71,21,70,0
2025-12-07T23:57:13,38.71,21,70,0
2025-12-07T23:57:18,38.71,21,71,0
2025-12-07T23:57:23,38.46,21,70,0
2025-12-07T23:57:28,37.73,21,70,0
2025-12-07T23:57:33,38.22,21,70,0
2025-12-07T23:57:38,38.46,21,70,0
2025-12-07T23:57:43,38.58,21,70,0
2025-12-07T23:57:48,39.07,21,71,0
2025-12-07T23:57:53,39.07,21,71,0
2025-12-07T23:57:58,39.19,21,71,0
2025-12-07T23:58:03,39.07,21,71,0
2025-12-07T23:58:08,39.19,21,71,0
2025-12-07T23:58:13,39.07,21,71,0
2025-12-07T23:58:18,39.07,21,71,0
2025-12-07T23:58:23,39.68,21.1,72,0
2025-12-07T23:58:28,38.46,21.4,71,0
2025-12-07T23:58:33,39.07,21.4,71,0
2025-12-07T23:58:38,39.07,21.4,71,0
2025-12-07T23:58:43,38.83,21.4,71,0
2025-12-07T23:58:48,38.71,21.4,71,0
2025-12-07T23:58:54,38.71,21.4,71,0
2025-12-07T23:58:59,38.83,21.4,71,0
2025-12-07T23:59:04,39.07,21.3,71,0
2025-12-07T23:59:09,39.07,21.1,71,0
2025-12-07T23:59:14,39.07,21.1,71,0
2025-12-07T23:59:19,38.83,21.1,71,0
2025-12-07T23:59:24,38.83,21.1,71,0
2025-12-07T23:59:29,38.58,21,71,0
2025-12-07T23:59:34,38.95,21,71,0
2025-12-07T23:59:39,38.83,21,71,0
2025-12-07T23:59:44,38.71,21,71,0
2025-12-07T23:59:49,39.07,21,70,0
2025-12-07T23:59:54,38.83,21,70,1
2025-12-07T23:59:59,38.83,21,70,0
2025-12-08T00:00:04,38.83,21,70,0
2025-12-08T00:00:09,39.07,21,70,0
2025-12-08T00:00:14,38.95,21,70,0
2025-12-08T00:00:19,39.07,21,70,0
2025-12-08T00:00:24,39.19,21,70,0
2025-12-08T00:00:29,38.58,21,70,1
2025-12-08T00:00:34,39.07,21,70,1
2025-12-08T00:00:39,39.07,21,70,0
2025-12-08T00:00:44,38.83,21,70,0
2025-12-08T00:00:49,38.83,21,70,0
2025-12-08T00:00:54,39.07,21,70,0
2025-12-08T00:00:59,39.07,21,70,0
2025-12-08T00:01:04,39.07,21,70,0
2025-12-08T00:01:09,39.07,21,70,0
2025-12-08T00:01:14,38.95,21,70,0
2025-12-08T00:01:19,38.83,21,70,0
2025-12-08T00:01:24,38.83,21,70,0
2025-12-08T00:01:29,36.02,21,70,0
2025-12-08T00:01:34,38.95,21,70,0
2025-12-08T00:01:39,39.07,21,71,0
2025-12-08T00:01:44,38.95,21,71,0
2025-12-08T00:01:49,39.07,21,71,1
2025-12-08T00:01:54,39.07,21,71,1
2025-12-08T00:01:59,39.07,21,71,0
2025-12-08T00:02:05,39.56,21,71,0
2025-12-08T00:02:10,39.32,21,71,0
2025-12-08T00:02:15,39.32,21,71,1
2025-12-08T00:02:20,39.68,21,71,0
2025-12-08T00:02:25,39.32,21,71,0
2025-12-08T00:02:30,39.44,21,71,0
2025-12-08T00:02:35,39.56,21,71,0
2025-12-08T00:02:40,39.07,21,71,0
